文同 | erlitou-shang.calligraphy.jiaguwen | erlitou-shang | 甲骨文：占卜刻辞与图文同源
张路 | ming.painting.zhepai-yuanti | ming | 浙派与院体的关系
巩中颜 | ming.temple-mural.bilu-si-bihua | ming | 毗卢寺壁画：释迦殿、毗卢殿两批画工与五百余神祇榜题体系
张保 | ming.temple-mural.bilu-si-bihua | ming | 毗卢寺壁画：释迦殿、毗卢殿两批画工与五百余神祇榜题体系
宛福清 | ming.temple-mural.fahai-si-huashiguan-timing | ming | 法海寺画士官题名：宛福清、王恕领衔的十五人画师团队
文同 | northern-song.theory.wenrenhua-tiyichu | northern-song | 文人画理论的提出：苏轼“士人画”与“胸有成竹”
曹寅 | qing.lacquer-textile.jiangnan-sanzhizao | qing | 江南三织造与宫廷织绣的贡奉体系
曹不兴 | wei-jin-nanbei.painting.caowei-weixie | wei-jin-nanbei | 曹不兴、卫协：早于顾恺之的传说性画家谱系
曹仲达 | wei-jin-nanbei.painting.caozhongda-caoyi-chushui | wei-jin-nanbei | 曹仲达"曹衣出水"：常被误系到隋唐期的北齐画家
宛福清 | yuan.architecture.miaoyingsi-baita-anige | yuan | 妙应寺白塔：尼泊尔匠师阿尼哥主持敕建的藏式佛塔
忽必烈 | yuan.architecture.yuandadu-guihua | yuan | 元大都城市规划：刘秉忠对《周礼·考工记》「匠人营国」的重新实践
忽必烈 | yuan.jade.dushandayuhai | yuan | 渎山大玉海与元代宫廷大型玉雕
张成 | yuan.lacquer-textile.zhangcheng-yangmao-diaoqi | yuan | 张成、杨茂与雕漆技法的成熟
文同 | yuan.painting.likan-kejiu-mozhu | yuan | 李衎、柯九思与元代墨竹的谱系化
建安虞氏 | yuan.print-folk.jianan-yushi-pinghua | yuan | 建安虞氏刻本《全相平话五种》插图版画
张伯渊 | yuan.temple-mural.chunyangdian-zhuhaogu-menren | yuan | 纯阳殿壁画：朱好古门人两班画工与「襄陵画派」
张遵礼 | yuan.temple-mural.chunyangdian-zhuhaogu-menren | yuan | 纯阳殿壁画：朱好古门人两班画工与「襄陵画派」
李弘宜 | yuan.temple-mural.chunyangdian-zhuhaogu-menren | yuan | 纯阳殿壁画：朱好古门人两班画工与「襄陵画派」
张伯渊 | yuan.temple-mural.jishan-xinghuasi-bihua | yuan | 稷山兴化寺壁画：朱好古纪年题记原址
